Category,Description,Data.Vitamins.Vitamin A - RAE,Data.Vitamins.Vitamin B12,Data.Vitamins.Vitamin B6,Data.Vitamins.Vitamin C,Data.Vitamins.Vitamin E,Data.Vitamins.Vitamin K
BABYFOOD,"BABYFOOD,MEAT,HAM,STR",2,0.1,0.252,2.1,0.13,0.0
BABYFOOD,"BABYFOOD,MEAT,HAM,JUNIOR",0,0.1,0.2,2.1,0.4,0.0
BABYFOOD,"BABYFOOD,MEAT,LAMB,STR",0,1.9,0.037,1.2,0.19,0.6
BABYFOOD,"BABYFOOD,MEAT,LAMB,JUNIOR",8,2.27,0.183,1.7,0.4,0.0
BABYFOOD,"BABYFOOD,MEAT,CHICK,STR",6,0.4,0.2,1.7,0.25,1.0
BABYFOOD,"BABYFOOD,MEAT,CHICK,JR",11,0.4,0.188,1.5,0.4,1.7
BABYFOOD,"BABYFOOD,MEAT,CHICK STKS,JR",3,0.4,0.103,1.7,0.37,0.4
BABYFOOD,"BABYFOOD,MEAT,TURKEY,STR",0,1.11,0.029,2.2,0.08,0.0
BABYFOOD,"BABYFOOD,MEAT,TURKEY,JR",0,1.11,0.029,0.0,0.08,0.0
BABYFOOD,"BABYFOOD,MEAT,TURKEY STKS,JR",6,1.0,0.076,1.5,0.37,0.4
BABYFOOD,"BABYFOOD,MEAT,MEAT STKS,JR",21,0.29,0.08,2.4,0.28,0.5
BABYFOOD,"BABYFOOD,DINNER,VEG&DUMPLINGS&BF,STR",21,0.09,0.047,0.8,0.24,0.0
BABYFOOD,"BABYFOOD,DINNER,VEG&DUMPLINGS&BF,JR",33,0.09,0.048,0.8,0.0,0.0
BABYFOOD,"BABYFOOD,DINNER,BF LASAGNA,TODD",58,0.51,0.071,1.9,0.0,0.0
BABYFOOD,"BABYFOOD,DINNER,MACARONI&TOMATO&BF,STR",44,0.15,0.056,0.3,2.62,29.3
BABYFOOD,"BABYFOOD,DINNER,MACARONI&TOMATO&BF,JR",35,0.24,0.047,1.5,0.81,6.7
